Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6903ecfa447c3eedb953e96b,677aefb67112f646f3fc77f6,RETURNED,Not Applicable,2025-10-30T22:56:17.609000Z,,,,,,1342,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6903f73379c679db9801230d,63368a7379eb43fa2105d971,RETURNED,Not Applicable,2025-10-30T23:40:19.343000Z,,,,,,6054,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69040a455b46a677f5d2dee8,614e6f4f00a9e94b123316d3,RETURNED,Not Applicable,,,,,,,6899,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
690bb6666601afa58455d2d8,6722eb89cba8e9d0a66c5512,TIMED-OUT,Not Applicable,2025-11-05T20:41:18.416000Z,,,,6660864.0,,792,36,Female,White,United States,United States,United States,English,Yes,Other
690bb66767221a3a5dc8d17b,682498beb28b43fa10e34496,RETURNED,Not Applicable,2025-11-05T20:42:11.623000Z,,,,,,3402,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
690bb66b09389d7c0469fb1f,67324fcf484d2ddb46f50e43,RETURNED,Not Applicable,2025-11-05T20:44:44.856000Z,,,,,,2427,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
690bb66b9125c7e2ea53d2c4,6723fefd7a09fe9da8f9bd10,RETURNED,Not Applicable,2025-11-05T20:41:48.664000Z,,,,,,3755,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
690bb6869743748d9d2a372d,55aa9c8dfdf99b634b427b9a,RETURNED,Not Applicable,2025-11-05T20:41:58.946000Z,,,,,,2151,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
690bb688ddd3dc95275ea2da,67cfeddb9f4b04d789ca82bd,RETURNED,Not Applicable,2025-11-05T20:44:41.671000Z,,,,,,1282,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
690bb6af2480ca4a693acbdd,66ec5904d71fbac55031aaf5,RETURNED,Not Applicable,2025-11-05T20:42:27.423000Z,,,,,,2948,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
690bb6bbe3f87b86f2948867,67accaf5ece612d8f19b39ac,RETURNED,Not Applicable,2025-11-05T20:43:27.921000Z,,,,,,3510,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
690bb7771ec102e61c0630ef,673f808c15c34271ac88d58e,RETURNED,Not Applicable,2025-11-05T20:46:22.334000Z,,,,,,2018,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
690bb7b362a74fd2e548d687,6824afdfce30efcd2e7274ef,RETURNED,Not Applicable,2025-11-05T20:46:47.928000Z,,,,,,3022,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
690bb80e73c2336e98aa647a,67628abfa461bc8ff539c320,RETURNED,Not Applicable,2025-11-05T20:48:24.589000Z,,,,,,2353,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
690bb83c6450ec87abf98ecd,67f302367b115d1edb94f0b0,RETURNED,Not Applicable,2025-11-05T20:49:31.535000Z,,,,,,2032,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
690bb883c57c2ae1a3bdcc13,67e5969d6dc49d614db50593,RETURNED,Not Applicable,2025-11-05T20:50:11.880000Z,,,,,,3084,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
690bb939b6a8299888130657,674c8549a9fd90b7c8dda9d3,RETURNED,Not Applicable,2025-11-05T20:53:38.432000Z,,,,,,5683,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
690bb9a4d223ecd513f318a1,67f000137a872d98794640b1,RETURNED,Not Applicable,2025-11-05T20:55:05.725000Z,,,,,,827,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
690bba6463ca078157a43056,601a67866e12e328676f82da,RETURNED,Not Applicable,2025-11-05T20:58:23.398000Z,,,,,,1949,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
690bbb5febe8152e01081980,5de8887aa2db898017debf1a,RETURNED,Not Applicable,2025-11-05T21:03:45.808000Z,,,,,,4228,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
690bbbe745108f57978b09c7,5bad4be8b712f30001b87947,RETURNED,Not Applicable,2025-11-05T21:04:45.570000Z,,,,,,2446,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
690bc3a1eb1107bb2a945568,614deec82f82c126feeddf3d,RETURNED,Not Applicable,2025-11-05T21:48:00.008000Z,,,,,,993,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
